id,completiontime,pagesubmitp,pagesubmit1,pagesubmit2,pagesubmit3,pagesubmit4,submissiontime,agenum,gender,gencond,condition,decision1,decision2,decision3,decision4,risktaking,posout,posfeel,negout,negfeel,recipient,experiencedemotions,interaction,gloomy,eggplant,nyc,attentioncheck,validity,excluded,submissiontimestat,code,zre_1,zre_2,recipient_mc,experiencedemotions_mc
1546,842,116.558,110.948,189.383,226.233,112.457,755.579,30,1,5,1,1,1,1,1,4,6,6,1,1,0,0,0,1,1,1,1,1,0,1,Akatsuki1,1.23382866543106,1.23382866543106,0,0
1570,1793,128.534,372.587,242.651,280.475,342.997,1367.244,30,1,5,1,1,1,1,1,4,4,5,2,1,0,0,0,1,1,1,1,1,0,1,Nyambega1,1.23382866543106,1.23382866543106,0,0
1574,2288,292.814,483.916,460.248,427.118,431.757,2095.853,49,1,5,1,1,0,0,0,1,1,1,6,4,0,0,0,1,1,1,1,1,0,1,relate2020,-0.931175620551088,-0.931175620551088,0,0
1606,690,134.001,83.412,122.118,88.129,136.05,563.71,34,1,5,1,1,1,1,1,4,5,4,2,1,0,0,0,1,1,1,1,1,0,1,05151985ce,1.23382866543106,1.23382866543106,0,0
1608,2402,447.841,631.019,240.155,385.561,382.382,2086.958,25,1,5,1,0,1,1,0,2,5,6,5,6,0,0,0,1,1,1,1,1,0,1,A5H12C63CG,0.500079359883069,0.500079359883069,0,0
1616,1497,312.751,278.75,246.954,265.359,282.54,1386.354,30,1,5,1,0,1,0,0,1,6,6,2,0,0,0,0,1,1,1,1,1,0,1,8a8a8a8a8a,-1.87729146736012,-1.87729146736012,0,0
1622,4151,974.487,1131.554,535.174,511.32,635.831,3788.366,46,1,5,1,1,1,0,0,2,3,4,4,1,0,0,0,1,1,1,1,1,0,1,Radhalf25,-0.682565448628221,-0.682565448628221,0,0
1649,1826,259.616,399.452,355.074,397.267,280.826,1692.235,25,1,5,1,1,1,0,1,3,3,2,4,1,0,0,0,1,1,1,1,1,0,1,20elephant,0.27563160840142,0.27563160840142,0,0
1651,747,122.61,131.584,130.847,95.972,106.949,587.962,56,1,5,1,1,0,0,1,2,4,4,4,4,0,0,0,1,1,1,1,1,0,1,abel2117,0.027021436478553,0.027021436478553,0,0
1658,1740,217.538,252.681,325.908,313.487,333.31,1442.924,59,1,5,1,1,0,1,1,3,5,5,1,0,0,0,0,1,1,1,1,1,0,1,A2DLE7X0RG,0.0391026466991614,0.0391026466991619,0,0
1669,489,74.166,63.111,76.162,66.841,81.281,361.561,31,1,5,1,0,0,1,0,1,2,3,5,3,0,0,0,1,1,1,1,1,0,1,A1234567,-1.16770458225335,-1.16770458225335,0,0
1671,3552,436.432,538.398,1324.831,575.738,378.982,3254.381,33,1,5,1,1,0,1,1,3,5,5,2,1,0,0,0,1,1,1,1,1,0,1,3TTABCR6,0.27563160840142,0.27563160840142,0,0
1692,972,119.986,191.004,187.859,145.017,154.541,798.407,21,1,5,1,0,1,0,0,1,2,4,5,3,0,0,0,1,1,1,1,1,0,1,Inter330,-1.16770458225335,-1.16770458225335,0,0
